StringID,English_Translator,Screenshot,Notes,English,ChineseTrad,ChineseSimp,Japanese,Korean,Danish,Dutch,French,German,Italian,Norwegian,Russian,Spanish,Swedish,Turkish,Portuguese
TALENT_ENGAGED_GOBLIN,Goblin Mountain,,,Goblin Mountain,哥布林山脈,地精山峰,ゴブリンマウンテン,고블린 산,Goblinbjerget,De koboldberg,Montagne des gobelins,Koboldberg,Montagna goblin,Nissefjellet,Гоблинская гора,Montaña de trasgos,Svartalfsberget,Goblin Dağı,Montanha dos Goblins
TALENT_ENGAGED_FAIRY,Fairyland,,,Fairyland,精靈王國,仙界,フェアリーランド,요정 왕국,Feland,Feeënland,Pays des fées,Feenland,Terra delle fate,Alveland,Страна фей,País de las hadas,Älvelandet,Peri Ülkesi,Terra das Fadas
TALENT_ENGAGED_HELPERQTE,Ultra Heroes,,,Ultra Heroes,終極英雄,终极英雄,ウルトラヒーロー,울트라 영웅,Ultra-helte,Ultrahelden,Ultra-héros,Ultrahelden,Ultra eroi,Ultrahelter,Великолепие,Ultrahéroes,Ultrahjältar,Ultra Kahramanlar,Ultra Heróis
TALENT_ENGAGED_BOSSTIMER,Time Distortion,,,Time Distortion,時間扭曲,时间扭曲,時間のひずみ,시간 왜곡,Tidsforvrænger,Tijdvervorming,Distorsion temporelle,Zeitstörung,Distorsione temporale,Tidsforskyvning,Искажение времени,Distorsión temporal,Tidsförvrängning,Zaman Bozulması,Distorção do Tempo
TALENT_ENGAGED_CLANQTE,Summon Help,,,Summon Help,召喚幫手,召唤帮助,助っ人召喚,원군 소환,Hidkald hjælp,Hulp oproepen,Demande d'aide,Hilfe herbeirufen,Richiama aiuto,Tilkalle hjelp,Призыв помощи,Ayuda de invocación,Åkalla hjälp,Yardım Çağır,Invocar Ajuda
TALENT_ENGAGED_HELPERCOUNT,Mighty Power,,,Mighty Power,強大力量,强大力量,大いなる力,강력한 힘,Mægtig kraft,Machtige kracht,Super pouvoir,Mächtige Kraft,Potenza incredibile,Mektig kraft,Могущество,Poder absoluto,Mäktig kraft,Ulu Güç,Poder Impetuoso
TALENT_LAZY_OFFLINEG,Gold Splitter,,,Gold Splitter,黃金分配器,黄金分裂器,ゴールド増殖術,골드 배급자,Guldsplitter,Goudsplitser,Répartiteur d'or,Goldteiler,Dividi-oro,Gullsplitter,Золотоискатель,Divisor de oro,Guldklyvare,Altın Ayırıcı,Divisor de Ouro
TALENT_LAZY_MELEE,Stronger Arms,,,Stronger Arms,強壯手臂,更强手臂,腕力強化,강력한 팔,Stærkere arme,Sterkere wapens,Bras plus forts,Stärkere Arme,Braccia più forti,Sterkere armer,Сильные руки,Brazos fuertes,Starkare armar,Daha Güçlü Kollar,Braços mais fortes
TALENT_LAZY_PETDMG,Pet Evolution,,,Pet Evolution,寵物進化,宠物进化,ペット進化,소환수 진화,Kæledyrsudvikling,Huisdierevolutie,Évolution des familiers,Tierevolution,Evoluzione animale,Kjæledyrrevolusjon,Эволюция питомца,Evolución de mascota,Djurutveckling,Hayvan Evrimi,Evolução de Pet
TALENT_LAZY_SPELL,Hyper Magic,,,Hyper Magic,高強魔法,超级魔法,超呪文,하이퍼 매직,Hyper-magi,Hypermagie,Hypermagie,Hypermagie,Ipermagia,Hypermagi,Гипермагия,Hipermagia,Hypermagi,Hiper Büyü,Hipermágica
TALENT_LAZY_GOLDRATE,Raining Gold,,,Raining Gold,黃金雨,天降黄金,黄金の雨,쏟아지는 골드,Guldregn,Goudregen,Pluie d'or,Goldregen,Piove oro,Gullregn,Золотой дождь,Lluvia de monedas,Guldregn,Altın Yağmuru,Chuva de Ouro
TALENT_LAZY_RANGE,Pinpoint Accuracy,,,Pinpoint Accuracy,精確準度,全面精准,ピンポイント攻撃,정밀한 정확도,Umådelig præcision,Extreme precisie,Précision d'horloger,Zielpräzision,Precisione perfetta,Millimeterpresisjon,Наивысшая точность,Precisión milimétrica,Nålfin precision,Tam İsabet,Precisão Cirúrgica
TALENT_LAZY_MONSTERCOUNT,Intimidating Presence,,,Intimidating Presence,威嚇現身,威吓存在,威圧感,두려운 존재,Skræmmende tilstedeværelse,Intimiderende aanwezigheid,Présence intimidante,Einschüchternde Präsenz,Presenza sinistra,Farlig nærvær,Гроза титанов,Presencia intimidatoria,Avskräckande närvaro,Göz Korkutucu Varlık,Presença Intimidadora
TALENT_LAZY_MULTIMON,Titan Family,,,Titan Family,巨人家族,巨人家族,タイタン一族,타이탄 일족,Titanfamilie,Titanenfamilie,Famille titanesque,Titanenfamilie,Famiglia titanica,Titanfamilien,Семейство титанов,Familia de titanes,Titanfamilj,Titan Ailesi,Família de Titãs
TALENT_LAZY_AUTOADV,Silent March,,,Silent March,沉默進軍,无声行进,沈黙の行進,침묵의 행군,Stille march,Stille mars,Marche silencieuse,Schweigemarsch,Marcia silenziosa,Stille marsj,Тихий марш,Desfile silencioso,Tyst marsch,Sessiz Yürüyüş,Marcha Silenciosa
TALENT_LAZY_SPLASH,Extended Reach,,,Extended Reach,擴大範圍,扩展触及,リーチ延長,늘어난 사거리,Forlænget rækkevidde,Verlengd bereik,Portée allongée,Erweiterte Reichweite,Portata estesa,Økt rekkevidde,Широкий размах,Mayor alcance,Utökad räckvidd,Genişletilmiş Mesafe,Alcance Estendido
TALENT_LAZY_PETDMGOFFLINE,Pet: Stealth,,,Pet: Stealth,寵物：潛行,宠物：潜行,ペット：ステルス,소환수:은신,Kæledyr:Skjult,Huisdier:Heimelijkheid,Familier :Furtivité,Tier:Tarnung,Animale:Furtività,Kjæledyr:Skjult,Питомец:Незаметность,Mascota:Sigilo,Djur:Kamouflage,Hayvan:Gizlilik,Pet:Furtividade
TALENT_ACTIVE_BURST,Magic Fusion,,,Magic Fusion,魔法融合,魔法聚变,マジックフュージョン,마법 융합,Magisk fusion,Magiefusie,Fusion magique,Zauberfusion,Fusione magica,Magisk fusjon,Магический синтез,Fusión mágica,Magisk fusion,Büyülü Karışım,Fusão Mágica
TALENT_ACTIVE_FIRETAP,Flame Touch,,,Flame Touch,火焰撫觸,火焰之触,炎の接触,불의 손길,Flammeberøring,Vurige aanraking,Toucher ardent,Flammenberührung,Tocco infuocato,Flammestrøk,Касание пламени,Toque ígneo,Eldberöring,Alevli Dokunuş,Toque de Chamas
TALENT_ACTIVE_MPREGEN,Magic Well,,,Magic Well,魔法高手,魔法之井,魔法の泉,마법의 샘,Magisk brønd,Magische bron,Puits magique,Zauberbrunnen,Pozzo magico,Ønskebrønn,Колодец магии,Pozo mágico,Magisk brunn,Büyülü Kuyu,Poço Mágico
TALENT_ACTIVE_HELPER,Heroic Might,,,Heroic Might,英雄威力,英雄之威,英雄的な力,영웅의 힘,Heltemodig magt,Heroïsche macht,Puissance héroïque,Heldenmacht,Forza eroica,Heroisk makt,Героическая мощь,Poder heroico,Heroisk makt,Kahramanca Kuvvet,Ímpeto Heroico
TALENT_ACTIVE_MPCAP,Mana Limit Break,,,Mana Limit Break,魔力界限突破,法力限制突破,マナ上限解放,마나 한계 초월,Manna-grænsebrud,Mana-limietpauze,Affinité magique,Manalimit-Brecher,Superamento limite mana,Managrensesprengende,Мана без границ,Límite absoluto de maná,Gränsöverskridande mana,Mana Sınırı Kırılması,Quebra de Limite de Mana
TALENT_ACTIVE_MIDAS,Midas Ultimate,,,Midas Ultimate,米達斯極限,终极米达斯,ミダスの奥義,미다스의 경지,Ultimativ Midas,Ultieme Midas,Attaque ultime de Midas,Midas-Überkraft,Potere finale di Mida,Ultimate Midas,Величие Мидаса,Poder definitivo de Midas,Ultimat Midas,Süper Midas,Midas Definitivo
TALENT_ACTIVE_MPSTEAL,Mana Siphon,,,Mana Siphon,魔力抽取,法力虹吸,マナ吸引,마나 흡수,Manna-dræn,Mana-sifon,Siphon de mana,Manaentzug,Risucchio di mana,Manasifong,Сифон маны,Drenaje de maná,Manatappning,Mana Hortumu,Sifão de Mana
TALENT_ACTIVE_CRITBOOST,Lightning Strike,,,Lightning Strike,閃電雷擊,闪电攻击,ライトニングストライク,전광석화 공격,Lynnedslag,Bliksemflits,Frappe foudroyante,Blitzschlag,Fulmine,Lynnedslag,Удар молнии,Golpe relámpago,Blixtslag,Yıldırım Vuruşu,Golpe de Raio
TALENT_ACTIVE_CLONE,Shadow Clone,,,Shadow Clone,闇影複製人,暗影克隆,影分身,그림자 클론,Skyggeklon,Schaduwkloon,Clone des ombres,Schattenklon,Clone d'ombra,Skyggekloning,Теневой клон,Clon sombrío,Skuggklon,Gölge Klon,Clone das Sombras
TALENT_ACTIVE_MPMONSTER,Manni Mana,,,Manni Mana,魔力瑪尼,曼尼马纳,マンニマナ,매니 마나,Manni-manna,Manni Mana,Manni Mana,Manni-Mana,Manni Mana,Manni-Mana,Мэнни Мана,Manni Maná,Manni Mana,Manni Mana,Manni Mana
ARTIFACT_NAME_Artifact1,Heroic Shield,,GoldBoss,Heroic Shield,英雄護盾,英勇之盾,英雄の盾,영웅의 방패,Heroisk skjold,Heroïsch schild,Bouclier héroïque,Heldenschild,Scudo eroico,Heroisk skjold,Щит героя,Escudo heroico,Hjältesköld,Kahramanca Kalkan,Escudo Heroico
ARTIFACT_NAME_Artifact2,Stone of the Valrunes ,,GoldMonster,Stone of the Valrunes,瓦魯涅斯之石,瓦如恩之石,ヴァルリューンズの石,발룬의 돌,Valrunernes sten,Steen van de Valrunen,Pierre des Valrunes,Stein der Valrunes,Pietra delle Valrune,Valrunenes stein,Камень валрунов,Piedra de los valrunes,Valrunas sten,Valrune Taşı,Pedra dos Valrunes
ARTIFACT_NAME_Artifact3,The Arcana Cloak ,,BossHP,The Arcana Cloak,奧秘斗篷,奥秘斗篷,アルカナの外套,아카나 망토,Arcana-kappen,De Arcanas-mantel,Cape des arcanes,Der Arcana-Mantel,Il mantello dell'arcano,Arcana-kappen,Арканный плащ,Manto arcano,Mystikmantel,Arcana Pelerini,A Capa Arcana
ARTIFACT_NAME_Artifact4,Axe of Muerte ,,CritChance,Axe of Muerte,死亡之斧,死亡之斧,ムエルテの斧,죽음의 도끼,Muertes økse,Bijl van Muerte,Hache de la Muerte,Axt von Muerte,Ascia di Muerte,Muerte-øks,Топор Умерто,Hacha de la muerte,Dödens yxa,Muerte Baltası,Machado de la Muerte
ARTIFACT_NAME_Artifact5,Invader's Shield ,,DoubleFairyChance,Invader's Shield,入侵者之盾,入侵者之盾,侵略者の盾,침략자의 방패,Angribers skjold,Invasieschild,Bouclier de l'envahisseur,Angreiferschild,Scudo dell'invasore,Invasjonsskjold,Щит захватчика,Escudo de invasor,Inkräktarsköld,İşgalci Kalkanı,Escudo do Invasor
ARTIFACT_NAME_Artifact6,Elixir of Eden ,,ShadowCloneSkillLevel,Elixir of Eden,伊甸靈藥,伊甸灵丹,エデンの霊薬,에덴의 영약,Edens eliksir,Elixer van Eden,Élixir d'Éden,Elixier von Eden,Elisir dell'Eden,Edens eliksir,Эдемский эликсир,Elixir del Edén,Edens elixir,Cennet İksiri,Elixir do Éden
ARTIFACT_NAME_Artifact7,Parchment of Foresight ,,CritBoostSkillLevel,Parchment of Foresight,遠見文稿,预知羊皮纸,予見の羊皮紙,선견의 양피지,Fremsynets pergament,Perkament van de vooruitblik,Parchemin de prescience,Pergament der Voraussicht,Pergamena della previsione,Fremsynets pergament,Пергамент предвидения,Pergamino de adivinación,Siarpergament,Öngörü Parşömeni,Pergaminho da Previsão
ARTIFACT_NAME_Artifact8,Hunter's Ointment ,,HelperBoostSkillLevel,Hunter's Ointment,獵人油膏,猎人药膏,狩人の軟膏,사냥꾼의 연고,Jægers salve,Jagersolie,Onguent du chasseur,Jägersalbe,Unguento del cacciatore,Jegersalve,Мазь охотника,Ungüento de cazador,Jägarsalva,Avcının Merhemi,Unção do Caçador
ARTIFACT_NAME_Artifact9,Laborer's Pendant,,HandOfMidasSkillLevel,Laborer's Pendant,勞動者吊飾,劳动者吊坠,労働者のペンダント,노동자의 펜던트,Arbejders vedhæng,Werkmanshanger,Pendentif du travailleur,Arbeiteranhänger,Pendente del lavoratore,Arbeiderens anheng,Кулон труженика,Colgante de jornalero,Arbetaramulett,İşçinin Kolyesi,Pendente do Trabalhador
ARTIFACT_NAME_Artifact10,Bringer of Ragnarok ,,TapBoostSkillLevel,Bringer of Ragnarok,諸神黃昏執行者,诸神黄昏使者,ラグナロクをもたらすもの,종말의 인도자,Budbringer af Ragnarok,Brenger van Ragnarok,Héraut du Ragnarok,Ragnarök-Bringer,Portatore di Ragnarok,Ragnarokbringeren,Предвестник Рагнарека,Sentencia de Ragnarok,Ragnaröks bärare,Ragnarok Koparan,Mensageiro de Ragnarok
ARTIFACT_NAME_Artifact11,Titan's Mask,,BurstDamageSkillLevel,Titan's Mask,巨人面具,巨人面具,タイタンの仮面,타이탄의 마스크,Titanmaske,Masker van de Titaan,Masque du Titan,Titanenmaske,Maschera del titano,Titanmaske,Маска титана,Máscara de titán,Titanmask,Titan Maskesi,Máscara de Titã
ARTIFACT_NAME_Artifact12,Swamp Gauntlet,,ShadowCloneSkillDuration,Swamp Gauntlet,沼澤臂鎧,沼泽手套,スワンプガントレット,수렁 건틀렛,Sumphandsker,Moerashandschoen,Gantelets des marais,Sumpfhandschuh,Guanto della palude,Sumphanske,Болотная перчатка,Guantelete de la ciénaga,Träskhandske,Bataklık Eldiveni,Manoplas do Pântano
ARTIFACT_NAME_Artifact13,Forbidden Scroll,,CritBoostSkillDuration,Forbidden Scroll,禁忌卷軸,禁忌卷轴,禁じられた巻物,금단의 두루마리,Forbudt skriftrulle,Verboden perkamentrol,Parchemin interdit,Verbotene Rolle,Pergamena proibita,Forbuden rull,Запретный свиток,Pergamino prohibido,Förbjuden skrift,Yasak Parşömen,Pergaminho Proibido
ARTIFACT_NAME_Artifact14,Aegis ,,HelperBoostSkillDuration,Aegis,神盾,神盾,イージス,아이기스,Ægide,Aegis,Égide,Ägis,Giuramento,Aegis,Эгида,Égida,Aigis,Himaye,Égide
ARTIFACT_NAME_Artifact15,Ring of Fealty,,HandOfMidasSkillDuration,Ring of Fealty,忠誠之戒,效忠指环,忠義の指輪,충성의 반지,Troskabens ring,Ring van trouw,Anneau de féodalité,Ring der Treue,Anello della fedeltà,Troskapens ring,Кольцо вассала,Anillo de fidelidad,Trohetsring,Bağlılık Yüzüğü,Anel da Fidelidade
ARTIFACT_NAME_Artifact16,Glacial Axe,,TapBoostSkillDuration,Glacial Axe,冰河之斧,冰川之斧,氷河の斧,빙하 도끼,Glacial økse,IJselijke bijl,Hache glaciale,Gletscheraxt,Ascia glaciale,Isøks,Кристаллический топор,Hacha glacial,Glaciäryxa,Buzlu Balta,Machado Glacial
ARTIFACT_NAME_Artifact17,Hero's Blade,,HelmetBoost,Hero's Blade,英雄之刃,英雄之刃,ヒーローブレード,영웅의 검,Heltens klinge,Heldenzwaard,Lame du héros,Heldenklinge,Lama dell'eroe,Helteklinge,Меч героя,Espada heroica,Hjälteklinga,Kahramanın Kılıcı,Lâmina do Herói
ARTIFACT_NAME_Artifact18,Egg of Fortune ,,ChestChance,Egg of Fortune,幸運蛋,幸运之卵,幸運の卵,행운의 달걀,Lykkebringende æg,Ei van fortuin,Œuf de chance,Ei des Schicksals,Uovo della fortuna,Lykkeegg,Яйцо удачи,Huevo de la fortuna,Turägg,Talih Yumurtası,Ovo da Fortuna
ARTIFACT_NAME_Artifact19,Chest of Contentment,,ChestAmount,Chest of Contentment,滿足寶箱,满足宝箱,充足の宝箱,풍요의 상자,Tilfredshedens kiste,Kist van tevredenheid,Coffre de satisfaction,Truhe der Zufriedenheit,Forziere della soddisfazione,Tilfredshetens kiste,Сундук блаженства,Cofre de la alegría,Belåtenhetens kista,Refah Sandığı,Baú do Contentamento
ARTIFACT_NAME_Artifact20,Book of Prophecy ,,GoldAll,Book of Prophecy,預言之書,预言之书,預言の書,예언서,Profetiens bog,Boek der voorspellingen,Livre des prophéties,Buch der Prophezeiung,Libro della profezia,Profetiens bok,Книга пророчества,Libro profético,Profetians bok,Kehanet Kitabı,Livro da Profecia
ARTIFACT_NAME_Artifact21,Divine Chalice,,Goldx10Chance,Divine Chalice,神聖酒杯,圣杯,神聖なる杯,신성한 성배,Guddommeligt bæger,Goddelijke beker,Calice divin,Göttlicher Kelch,Calice divino,Guddommelig pokal,Божественная чаша,Cáliz divino,Gudomlig bägare,İlahi Kadeh,Cálice Divino
ARTIFACT_NAME_Artifact22,Book of Shadows ,,PrestigeRelic,Book of Shadows,闇影之書,暗影之书,影の書,그림자의 책,Skyggernes bog,Boek der schaduwen,Livre des ombres,Buch der Schatten,Libro delle ombre,Skyggenes bok,Книга теней,Libro de las sombras,Skuggbok,Gölgeler Kitabı,Livro das Sombras
ARTIFACT_NAME_Artifact23,Helmet of Madness,,ArmorBoost,Helmet of Madness,瘋狂頭盔,疯狂头盔,狂気の兜,광기의 헬멧,Galskabens hjelm,Helm der dwaasheid,Casque de la folie,Helm des Irrsinns,Elmo della follia,Galskapens hjelm,Шлем безумия,Casco demencial,Vansinneshjälm,Çılgınlık Kaskı,Capacete da Loucura
ARTIFACT_NAME_Artifact24,Staff of Radiance,,HelperUpgradeCost,Staff of Radiance,光芒之杖,光辉之杖,光輝の杖,광휘의 지팡이,Strålestav,Staf der schittering,Bâton resplendissant,Stab des Leuchtens,Bordone radioso,Strålestav,Сиятельный посох,Báculo radiante,Strålglansens stav,Aydınlık Asası,Bastão da Luminosidade
ARTIFACT_NAME_Artifact25,Lethe Water,,SwordBoost,Lethe Water,遺忘之水,忘川之水,忘却の水,레테 강물,Vand fra Lethe,Water der vergetelheid,Eau du Léthé,Lethe-Wasser,Acqua del Lete,Glemselens vann,Вода из Леты,Agua de Lete,Lethevatten,Lethe Suyu,Água do Lete
ARTIFACT_NAME_Artifact26,Heavenly Sword,,ArtifactDamage,Heavenly Sword,天劍,天堂之剑,天国の剣,천상의 검,Himmelsk sværd,Hemels zwaard,Épée céleste,Himmelsschwert,Spada paradisiaca,Himmelsk sverd,Небесный меч,Espada celestial,Himmelskt svärd,Cennet Kılıcı,Espada do Paraíso
ARTIFACT_NAME_Artifact27,Glove of Kuma ,,AuraBoost,Glove of Kuma,熊掌手套,大熊手套,クマの手袋,쿠마의 장갑,Kumas handske,Handschoen van Kuma,Gant de Kuma,Handschuh von Kuma,Guanto di Kuma,Kumas hanske,Перчатка Кумы,Guante de Kuma,Kumas handske,Kuma Eldiveni,Luva de Kuma
ARTIFACT_NAME_Artifact28,Amethyst Staff ,,SlashBoost,Amethyst Staff,紫晶之杖,紫晶之杖,アメジストの杖,자수정 지팡이,Ametyststav,Amethiststaf,Bâton d'améthyste,Amethystenstab,Bastone di ametista,Ametyststav,Аметистовый посох,Báculo de amatistas,Ametiststav,Ametist Asası,Bastão de Ametista
ARTIFACT_NAME_Artifact29,Drunken Hammer,,TapDamage,Drunken Hammer,巨人之錘,醉酒之锤,酔いどれハンマー,주정뱅이 망치,Fuldskabshammer,Dronken hamer,Marteau de l'ivrogne,Trinkhammer,Martello dell'ubriaco,Fordrukken hammer,Молот пьяницы,Martillo ebrio,Berusningens hammare,Sarhoş Balta,Martelo Bêbado
ARTIFACT_NAME_Artifact30,Brew of Absorption,,BossRelic,Brew of Absorption,吸收藥水,吸收之酒,吸収の調合物,흡수의 담금주,Absorberingsbryg,Brouwsel der absorptie,Potion d'absorption,Absorptionsbräu,Miscela dell'assorbimento,Absorberingsbrygg,Варево поглощения,Brebaje de drenaje,Införlivningsbrygd,Enerji Mayası,Infusão da Absorção
ARTIFACT_NAME_Artifact31,Divine Retribution,,AllDamage,Divine Retribution,神之制裁,神圣报应,神罰の剣,신성한 징벌,Guddommelig gengældelse,Goddelijke vergelding,Rétribution divine,Göttliche Rache,Vendetta divina,Guddommelig gjengjeldelse,Божественное возмездие,Castigo divino,Gudomlig vedergällning,İlahi Öç,Retribuição Divina
ARTIFACT_NAME_Artifact32,Fruit of Eden ,,"MeleeHelperDamage,",Fruit of Eden,伊甸之果,伊甸之果,エデンの果実,에덴의 과실,Edens frugt,Vrucht van Eden,Fruit de l'Éden,Frucht von Eden,Frutto dell'Eden,Edens frukt,Эдемский фрукт,Fruto del Edén,Edens frukt,Cennet Meyvesi,Fruta do Éden
ARTIFACT_NAME_Artifact33,The Sword of Storms ,,"RangedHelperDamage,",The Sword of Storms,風暴之劍,风暴之剑,嵐の剣,폭풍의 검,Stormenes sværd,Het zwaard der stormen,Épée des tempêtes,Das Schwert der Stürme,La Spada delle tempeste,Stormenes sverd,Меч бурь,Espada de la tormenta,Stormsvärdet,Fırtına Kılıcı,A Espada das Tempestades
ARTIFACT_NAME_Artifact34,Charm of the Ancient ,,"MagicHelperDamage,",Charm of the Ancient,遠古護身符,古代护身符,古代の魔除け,고대의 부적,Det ældgamles vedhæng,Amulet van de ouden,Charme des Anciens,Amulett der Alten,Amuleto dell'antico,Antikt armbånd,Древний талисман,Amuleto del Antiguo,Urtidens amulett,Kadim Efsun,Talismã dos Antigos
ARTIFACT_NAME_Artifact35,Blade of Damocles ,,"AllHelperDamage,",Blade of Damocles,達摩克勒斯之刃,达摩克利斯之剑,ダモクレスの刃,다모클레스의 검,Damoklessværd,Zwaard van Damocles,Lame de Damoclès,Klinge des Damokles,Spada di Damocle,Damokles' klinge,Дамоклов клинок,Espada de Damocles,Damokles klinga,Demokles'in Kılıcı,Lâmina de Damocles
ARTIFACT_NAME_Artifact36,Infinity Pendulum  ,,BurstDamageSkillMana,Infinity Pendulum,無限擺錘,无限摆锤,無限の振り子,무한의 추,Uendelighedspendul,Oneindigheidsslinger,Pendule de l'Infini,Unendlichkeitspendel,Pendolo dell'infinito,Uendelighetspendel,Маятник бесконечности,Péndulo infinito,Evighetspendel,Sonsuzluk Sarkacı,Pêndulo Infinito
ARTIFACT_NAME_Artifact37,Oak Staff,,MonsterHP,Oak Staff,橡木杖,橡木杖,樫の杖,오크나무 지팡이,Egestav,Eikenstaf,Bâton de chêne,Eichenstab,Bastone di quercia,Eikestav,Дубовый посох,Báculo de roble,Ekstav,Meşe Asa,Bastão de Carvalho
ARTIFACT_NAME_Artifact38,Furies Bow,,PetDamage,Furies Bow,復仇女神之弓,复仇女神之弓,憤怒の弓,퓨리 자매의 활,Raseribue,Furieboog,Arc des Furies,Furienbogen,Arco delle Furie,Vredens bue,Лук фурий,Arco de las furias,Vredesbåge,Furies Yayı,Arco da Fúria
ARTIFACT_NAME_Artifact39,Titan Spear ,,,Titan Spear,沉醉長矛,巨人之矛,酔いどれスピアー,타이탄 창,Titanspyd,Titanenspeer,Lance de titan,Titanenspeer,Lancia del titano,Fordrukkent spyd,Копье титана,Lanza del titán,Titanspjut,Titan Mızrağı,Lança de Titã
Aura_Bats,Bat Cave,,,Bat Cave,蝙蝠洞,蝙蝠洞,コウモリの群れ,박쥐 동굴,Flagermushule,Vleermuisgrot,Grotte aux chauves-souris,Fledermaushöhle,Caverna dei pipistrelli,Flaggermushule,Летучие мыши,Murciélagos,Fladdermusgrotta,Yarasa Mağarası,Batcaverna
Aura_Bird,Birds,,,Birds,鳥,鸟,バード,새,Fugle,Vogels,Oiseaux,Vögel,Uccelli,Fugler,Птички,Pájaros,Fåglar,Kuşlar,Pássaros
Aura_BlackEnergy,Black Energy,,,Dark Energy,黑暗能量,黑暗能量,ダークエネルギー,어둠의 에너지,Mørk energi,Donkere energie,Énergie noire,Dunkelenergie,Energia oscura,Mørk energi,Темная энергия,Energía oscura,Mörk energi,Karanlık Enerji,Energia Sombria
Aura_Bones,Smells Fishy,,,Smells Fishy,魚腥味,可疑鱼味,おさかな天国,생선 비린내,Lugter af fusk,Verdacht luchtje,Anguille sous roche,Zweifelhaft,Odore di marcio,Lukter fisk,Рыбный день,Espinas de pescado,Luktar fisk,Bit Yeniği,Cheiro de Peixe
