StringID,English_Translator,Screenshot,Notes,English,ChineseTrad,ChineseSimp,Japanese,Korean,Danish,Dutch,French,German,Italian,Norwegian,Russian,Spanish,Swedish,Turkish,Portuguese
PERK_DESC_Doom,"Allow Sword Master to embrace the darkness, instantly killing any Titan.",,,"Allow Sword Master to embrace the darkness, instantly killing any Titan.",讓劍術大師得以擁抱黑暗之力，立即殺死任何巨人。,让剑王投向黑暗，立即杀死任何巨人。,ソードマスターが闇の力を受け継ぎ、どんなタイタンも一撃で倒します。,소드 마스터가 어둠을 받아들여 어떤 타이탄이라도 즉시 처치할 수 있습니다.,"Sværdmestre bliver ét med mørket, og enhver titan dræbes øjeblikkeligt.",Geef Zwaardmeester de kans om de duisternis te omarmen en onmiddellijk elke Titaan te doden.,Le Maître de l'épée accepte sa part d'ombre et tue instantanément n'importe quel Titan.,"Erlaube dem Schwertmeister, die Dunkelheit anzunehmen und sofort jeden Titanen zu töten.","Permetti al Maestro di spada di accogliere l'oscurità, uccidendo immediatamente ogni titano.","La Sverdmesteren omfavne mørket, noe som dreper alle titaner på flekken.","Мечник впускает в себя тьму, мгновенно убивая любого титана.","Otorga al maestro espadachín el poder de la oscuridad, con el que acabará al instante con cualquier titán.",Låt svärdkonstnären omfamna mörkret och döda en titan direkt.,"Kılıç Ustasının karanlığı sarmasına izin ver, herhangi bir Titanı anında öldürür.","Permite que o Mestre da Espada aceite a escuridão, matando instantaneamente qualquer Titã."
PERK_TITLE_PowerOfSwipe,Power of Swiping,,,Power of Swiping,橫掃之力,挥击之力,スワイプの力,파워 스와이프,Kraftsvirp,De kracht van vegen,Pouvoir du balayage,Macht des Wischens,Spazzata potente,Sveipets kraft,Могучие удары,Deslizamiento veloz,Svepande kraft,Kaydırmanın Gücü,Poder do Swipe
PERK_DESC_PowerOfSwipe,Swipe to attack at max speed for 8 hours.,,,Swipe to attack at max speed for 8 hours.,8 小時內可用滑掃來以最高速度進行攻擊。,滑动来用最大速度攻击，持续 8 小时。,スワイプすると8時間、最高速度で攻撃できます。,살짝 밀어 8시간 동안 최대 속도로 공격합니다.,Svirp for at angribe med maksimal hastighed i otte timer.,Veeg om 8 uur op maximale snelheid aan te vallen.,Balaie l'écran pour attaquer à vitesse max pendant 8 heures.,"Wische, um 8 Stunden lang mit maximalem Tempo anzugreifen.",Scorri sullo schermo per attaccare alla massima velocità per 8 ore.,Sveip for å angripe med maks hastighet i 8 timer.,Атакуйте с максимальной скоростью в течение 8 часов.,Desliza el dedo para atacar a máxima velocidad durante 8 horas.,Svep för att anfalla med maxhastighet i 8 timmar.,8 saat boyunca maksimum hızda saldırmak için kaydır.,Passe o dedo para atacar na velocidade máxima por 8 horas.
PERK_TITLE_DoubleDamage,Double Damage,,,Double Damage,雙倍傷害,双倍伤害,ダブルダメージ,더블 대미지,Dobbelt skade,Dubbele schade,Dégâts doublés,Doppelschaden,Doppio danno,Dobbel skade,Двойной урон,Daño doble,Dubbel skada,Çifte Hasar,Dano em dobro
PERK_DESC_DoubleDamage,Get double the damage on all attacks for 8 hours.,,,Get double the damage on all attacks for 8 hours.,8 小時內所有攻擊皆可造成雙倍傷害。,所有攻击获得双倍伤害，持续 8 小时。,8時間にわたり、すべての攻撃のダメージが2倍になります。,8시간 동안 모든 공격에 두 배의 대미지가 적용됩니다.,Gør dobbelt skade med alle angreb i otte timer.,Breng gedurende 8 uur dubbele schade toe met alle aanvallen.,Toutes les attaques infligent deux fois plus de dégâts pendant 8 heures.,Hol dir 8 Stunden lang den doppelten Schaden bei allen Angriffen.,Ottieni il doppio del danno da tutti gli attacchi per 8 ore.,Få dobbel skade på alle angrep i 8 timer.,Удвойте урон для всех атак в течение 8 часов.,Provoca el doble de daño con todos los ataques durante 8 horas.,Gör dubbel skada med alla attacker i 8 timmar.,8 saat boyunca tüm saldırılarda çifte hasar ver.,Cause o dobro de dano em todos os ataques por 8 horas.
MANA_COST,Mana Cost,,,Mana Cost,魔力花費,法力消耗,マナコスト,마나 비용,Mannapris,Mana-kosten,Coût en mana,Manakosten,Costo in mana,Manakostnad,Расход маны,Coste de maná,Manakostnad,Mana Maliyeti,Custo de Mana
ACTIVE_SKILL_SKILLTREE_DESC_FIRE_DAMAGE,The Fire Damage skill can be upgraded in the skill tree.,ActiveSkillPoPup.png,,The Fire Damage skill can be upgraded in the skill tree.,火系傷害技能可在技能樹中進行升級。,火系伤害技能可以在技能树中升级。,スキルツリーで火力ダメージスキルを強化できます。,스킬 트리에서 화염 대미지 스킬을 업그레이드할 수 있습니다.,Ildskade-evnen kan opgraderes i evnetræet.,De vaardigheid Vuurschade kan in het vaardighedenschema worden geüpgraded.,Tu peux améliorer la compétence Dégâts de feu dans l'arbre de compétences.,Die Feuerschaden-Fertigkeit kann im Fertigkeitenbaum verbessert werden.,L'abilità Danni da fuoco può essere potenziata nell'albero abilità.,Brannskaden kan oppgraderes i ferdighetstreet.,Урон огнем можно улучшить через дерево умений.,Puedes mejorar la habilidad Daño ígneo en el árbol de habilidades.,Färdigheten för eldskada kan uppgraderas i färdighetsträdet.,"Ateş Hasarı becerisi, beceri ağacında yükseltilebilir.",A habilidade Dano de fogo pode ser melhorada na árvore de habilidades.
ACTIVE_SKILL_SKILLTREE_DESC_SHADOW_CLONE,The Shadow Clone skill can be upgraded in the skill tree.,ActiveSkillPoPup3.png,,The Shadow Clone skill can be upgraded in the skill tree.,闇影複製人技能可在技能樹中進行升級。,影子克隆技能可以在技能树中升级。,スキルツリーで影分身スキルを強化できます。,스킬 트리에서 그림자 클론 스킬을 업그레이드할 수 있습니다.,Skyggeklon-evnen kan opgraderes i evnetræet.,De vaardigheid Schaduwkloon kan in het vaardighedenschema worden geüpgraded.,Tu peux améliorer la compétence Clone des ombres dans l'arbre de compétences.,Die Schattenklon-Fertigkeit kann im Fertigkeitenbaum verbessert werden.,L'abilità Clone d'ombra può essere potenziata nell'albero abilità.,Skyggekloning kan oppgraderes i ferdighetstreet.,Теневого клона можно улучшить через дерево умений.,Puedes mejorar la habilidad Clon sombrío en el árbol de habilidades.,Färdigheten för skuggklonen kan uppgraderas i färdighetsträdet.,"Gölge Klon becerisi, beceri ağacında yükseltilebilir.",A habilidade Clone das Sombras pode ser melhorada na árvore de habilidades.
ACTIVE_SKILL_SKILLTREE_DESC_BURST_DAMAGE,The Burst Damage skill can be upgraded in the skill tree.,ActiveSkillPoPup2.png,,The Burst Damage skill can be upgraded in the skill tree.,爆炸傷害技能可在技能樹中進行升級。,爆发伤害技能可以在技能树中升级。,スキルツリーでバーストダメージスキルを強化できます。,스킬 트리에서 천상의 강타 스킬을 업그레이드할 수 있습니다.,Udbrudsskade-evnen kan opgraderes i evnetræet.,De vaardigheid Schadestoot kan in het vaardighedenschema worden geüpgraded.,Tu peux améliorer la compétence Dégâts décuplés dans l'arbre de compétences.,Die Explosionsschaden-Fertigkeit kann im Fertigkeitenbaum verbessert werden.,L'abilità Esplosione di danni può essere potenziata nell'albero abilità.,Brakskade kan oppgraderes i ferdighetstreet.,Урон взрывом можно улучшить через дерево умений.,Puedes mejorar la habilidad Estallido de daño en el árbol de habilidades.,Färdigheten för inre kraft kan uppgraderas i färdighetsträdet.,"Hasar Patlaması becerisi, beceri ağacında yükseltilebilir.",A habilidade Rajada de Dano pode ser melhorada na árvore de habilidades.
ACTIVE_SKILL_SKILLTREE_DESC_HELPER_SPEED_DAMAGE,The Hero Speed skill can be upgraded in the skill tree.,ActiveSkillPoPup4.png,,The Hero Speed skill can be upgraded in the skill tree.,英雄速度技能可在技能樹中進行升級。,英雄速度技能可以在技能树中升级。,スキルツリーでヒーロースピードスキルを強化できます。,스킬 트리에서 영웅 속도 스킬을 업그레이드할 수 있습니다.,Heltefart-evnen kan opgraderes i evnetræet.,De vaardigheid Heldensnelheid kan in het vaardighedenschema worden geüpgraded.,Tu peux améliorer la compétence Vitesse des héros dans l'arbre de compétences.,Die Heldentempo-Fertigkeit kann im Fertigkeitenbaum verbessert werden.,L'abilità Velocità eroe può essere potenziata nell'albero abilità.,Heltehastighet kan oppgraderes i ferdighetstreet.,Героическую скорость можно улучшить через дерево умений.,Puedes mejorar la habilidad Velocidad de héroe en el árbol de habilidades.,Färdigheten för hjältehastighet kan uppgraderas i färdighetsträdet.,"Karaman Hızı becerisi, beceri ağacında yükseltilebilir.",A habilidade Velocidade do Herói pode ser melhorada na árvore de habilidades.
