EquipmentID,EquipmentCategory,BonusType,Rarity,AttributeBaseAmount,AttributeBaseInc
Slash_EmbersBlue,Slash,TapDamage,2,1,0.15
Slash_StarsBlue,Slash,TapDamage,3,1,0.5
Slash_Fire,Slash,TapDamage,3,1,0.4
Slash_Lightning,Slash,PetDamageMult,1,1,0.018
Slash_Paint,Slash,PetDamageMult,1,1,0.019
Slash_Stars,Slash,PetDamageMult,1,1,0.02
Slash_Water,Slash,PetDamageMult,1,1,0.021
Slash_Rainbow,Slash,PetDamageMult,2,1,0.05
Slash_Leaves,Slash,PetDamageMult,2,1,0.06
Slash_FireBlack,Slash,PetDamageMult,3,1,0.018
Slash_Smelly,Slash,PetDamageMult,3,1,0.2
Slash_Petals,Slash,None,0,,
Suit_ArmorFace,Suit,GoldAll,1,1,0.01
Suit_ArmorIce,Suit,GoldAll,1,1,0.011
Suit_Casual,Suit,GoldAll,1,1,0.012
Suit_Wizard,Suit,GoldAll,1,1,0.013
Suit_ArmorRoyal,Suit,GoldAll,2,1,0.03
Suit_KungFu,Suit,GoldAll,2,1,0.033
Suit_ArmorHighTec,Suit,GoldAll,3,1,0.11
Suit_ArmorRed,Suit,GoldAll,3,1,0.1
Suit_ArmorPurple,Suit,ChestAmount,1,1,0.02
Suit_ArmorScale,Suit,ChestAmount,1,1,0.021
Suit_Farmer,Suit,ChestAmount,1,1,0.022
Suit_ArmorGreen,Suit,ChestAmount,1,1,0.023
Suit_ArmorWhite,Suit,ChestAmount,2,1,0.06
Suit_ArmorOrange,Suit,ChestAmount,2,1,0.062
Suit_ArmorRoman,Suit,ChestAmount,3,1,0.2
Suit_Ninja,Suit,ChestAmount,3,1,0.21
Suit_Chicken,Suit,None,0,0,0
Suit_Robot,Suit,None,0,0,0
Suit_Snowman,Suit,None,0,0,0
Suit_Ironman,Suit,None,0,0,0
Weapon_Basic,Weapon,AllDamage,1,1,0.03
Weapon_Bat,Weapon,AllDamage,1,1,0.019
Weapon_Club,Weapon,AllDamage,1,1,0.02
Weapon_WoodAxe,Weapon,AllDamage,1,1,0.031
Weapon_Brute,Weapon,AllDamage,1,1,0.035
Weapon_Laser,Weapon,AllDamage,2,1,0.055
Weapon_ZigZag,Weapon,AllDamage,2,1,0.07
Weapon_Excalibur,Weapon,AllDamage,3,1,0.1
Weapon_Cleaver,Weapon,AllDamage,3,1,0.09
Weapon_Gear,Weapon,AllHelperDamage,1,1,0.05
Weapon_Sythe,Weapon,AllHelperDamage,1,1,0.05
Weapon_Hammer,Weapon,AllHelperDamage,1,1,0.07
Weapon_Ninja,Weapon,AllHelperDamage,1,1,0.06
Weapon_BattleAxe,Weapon,AllHelperDamage,1,1,0.065
Weapon_Halberd,Weapon,AllHelperDamage,2,1,0.17
Weapon_Beam,Weapon,AllHelperDamage,2,1,0.14
Weapon_Holy,Weapon,AllHelperDamage,3,1,0.25
Weapon_Poison,Weapon,AllHelperDamage,3,1,0.27
Weapon_Glaive,Weapon,CritDamage,1,1,0.04
Weapon_Buster,Weapon,CritDamage,1,1,0.05
Weapon_Skull,Weapon,CritDamage,1,1,0.05
Weapon_Spear,Weapon,CritDamage,1,1,0.045
Weapon_Katana,Weapon,CritDamage,1,1,0.055
Weapon_PitchFork,Weapon,CritDamage,2,1,0.1
Weapon_Staff,Weapon,CritDamage,2,1,0.11
Weapon_Saw,Weapon,CritDamage,3,1,0.2
Weapon_Pencil,Weapon,None,0,1,0
Weapon_Fish,Weapon,None,0,1,0
Weapon_Carrot,Weapon,None,0,1,0
